code;wahlkreis_id;election_id
0qCQk4Iq4Jc4QFUZ99uZtplQwBIzgBxnSAHfT5TBcrk=;3;3
Oc4GJM6cNtyaT4O2i5K8ifXggFAf/Ik3cbSQ27FQ8ik=;3;3
iKvNl0Do54kHeJ7lVH1xCoMgN+uBJhNWChV7QuHnIxY=;3;3
sGGtoNSF3A1GOqXhA3+ZxTMV+yFeGpT1brZIRmUBf/g=;3;3
sQWRjc7Y4tBUCNqRBuSKYgEVT6ep4+d07XiCmMcPEe0=;3;3
3/KVGfcjYms3ezNw1F3OmhUqGb0VGzDcZduRLHNffs8=;3;3
sfQV30b1Tc3JWSnJtvdKjgxFVEADKnRZSiONSJtewOk=;3;3
L0hcK2Nw0Bo//nY6bSuPeasfUvYs5ApMlCvUothQUmE=;3;3
z+zW/8obBlE71I2XQ4O517qTdXfTc6HRLts41FDYbtU=;3;3
nJpihKRLyKP31yz1fW1cMkxJlGRkxik9h5Mfb9RnzV4=;3;3
RRZ8yqEm2Wly78bpzuXbQC2S+XyQcHZi22O4CvuSqKQ=;2;3
x1yX0w33bk6kUceeLfHfCAxDl6OcEKnEjfZ4vrDl+mc=;2;3
lA+r+aR2wwTd+6H4zA5ud7ozM/3iEGVdoBjrWlQTzsU=;2;3
m+LDSPBxx6vqLhmnot7W6979uKd/pP/JpKCryZ44EcE=;2;3
YXk7jqjLF5Ini6aU9pUjS1PJ6MxBdO27G3WSPWFOOu0=;2;3
rpfkcd1/+5+XhSaSa5G2VswGqLH9oPZPhg58vMtTWXA=;2;3
3HJE3JOCAzxLzeEwVAogveMkTVP0O6SFmPUXshrtgcA=;2;3
kkgInmOUBoYAw8e2no1G4v0B0/5wUQ5Sxx9KOA2rIlU=;2;3
zYL/fEjl7HHujc3HLoW/Bm5rQSztR95cg3obGzM38uc=;2;3
wXS+N01RoNYK80TBrei2Cev64P+nmg+uFwbvGRLA9Oo=;2;3
SGn/gfLLMw37vPI16RMChaXK/DTVuylMNnXwv5Ae31M=;1;3
Q0XCbdASAUTr6m1/jaeTt5SCr1GmO1q6VBz34WtWE5Y=;1;3
CVN6tmgGAohePbU+h6agzgLTUcIQ470IKc3fHGXLNxs=;1;3
1+j3mRUyhYHn/lVdB43JtCM0K4mHONs/JKiMf9yblmM=;1;3
lXymHRGfM9hE3ud+PXw+OmlTRGaZ2XU53YL0iXnHI80=;1;3
BJweMlyJqx/TetnqU2e/flaQB4myKj6xbiArY4zwzeI=;1;3
mUoHjc+ftMj/a4vTyD6KWzm0NRijmfxII77Npqq6Ywo=;1;3
cMFMhDK6Y+nsy0GX8ExHPQwf8ENAcodmKG7U/wm7MsE=;1;3
hIxgPYxqyDV/RoGE6YR7xSmXmx+A0zMUyVCnAYarDQc=;1;3
mfKbyCm5F275W17+4IbuAIHZPP4r4cator3hi5X1HzA=;1;3
VHz6EuabnlwBr72JY2I0CGmQQD/8o+IZj7gjdUGOjYk=;4;3
5TU8SxHjIYx1wHqKhaThwK5BpBMvEFfCWqICRqg6POY=;4;3
PXLRpc4S3iPQrT1s8bxi/zGyS6PkEQDbgMaux0OMKe4=;4;3
OdCXYjkYichi43vm6QOmB7ILnX5GKefBMN7LuiME+DM=;4;3
H4Wy+7UdwcgnVdFLMFDAxjCpzF07ljoOwgeUEZgymJM=;4;3
v+AbZd9wIDTUWESDXAuMEUqR1FBtm0EfBL5EadsgAW8=;4;3
mCRqlsze51gCntkSVcNCyk+kPYn2ZsVTs0Dw7Pc6X1A=;4;3
AFYGZc38AckkLLP8w8OMQeq7n05Tq0kTSqsBXBOkpdA=;4;3
3txzlSfR1s2rFrgGCFR/+WYeTq0CVrhDE6NlPgTkBmI=;4;3
i1oZxv/dfKMkUlwNMRdR/TtFoQRjurmMFUxaPE4JC2s=;4;3
AsT5yznxy/Uj76wxrn9t2943/1AJ/hLcG1+qkMm4c0s=;5;3
Vf6O15OPw1Lhhph645ZxmgC/PmBqN2jfBLRU3rGtFTs=;5;3
ndxLqCloLYNCw8eNWaxO2xnptwkTE0xSM+bIQqdvv9Q=;5;3
0MybKQS/PqQOniK1+8aImBgGgMevfhgxLLjOG6HTSK4=;5;3
ZvG/U4+W2cu+setd2YPX/rYemfPCiNi2bbKuVKS6T9E=;5;3
8j7CNT+TvnJy04us9jmK2E0H8sesnfNCclrXc7CXAEs=;5;3
Qy8rV1dJVYpqJIboWGO38F8CsRmKn3jwTd4VZzqao00=;5;3
4P7GXCpwcIWBmgEcyLyHUPEmrkIhXTHYwxEgUxwlCWc=;5;3
OJ5ZJi5u0Xs87l9LyD4USA5aLD3w6uLF8A9JZUyVfhM=;5;3
NiyxWTj6ljgaHLirsqR/i4rwyAiXMg2ttsKIZqYgpcc=;5;3
+xyOFfBblUmzOEWUklDtFAGD6RqYx0MpaImrF9bzy68=;6;3
wkRJaMKqQPjIWwzGB1A+/9WP30WgJoheQKcsXM5nirE=;6;3
aO3VUQOFvT3pDVsU9LG3Vhi5BGMlxUtquUUQy7EJsI8=;6;3
PhE+f0lJK+WNzH6hq1dnI688qNXfmXpJYWqDekYyXiM=;6;3
miHvPELudLDrSr750+pa2wNDFyZZBrPuOSfWOJ65qy8=;6;3
yTbwnJxo6xKYUVjEPkwMfhVh/MGhvZqMrGe9F75W3xo=;6;3
3JhavGq8uAg87aXWp9jeK56Ja6dm6n0Q6gBVabHC0Po=;6;3
uLFcgHADS/NPDxLm7WXsmjnK7IaqyOTWXHgpC+u4oRQ=;6;3
TSOLdJg6wjjEoUVgTsA88czV+jAdwm/UVzsfYK0cu54=;6;3
